name,address,city,locality,specialty,contact_number
Subharti Hospital,NH-58,Meerut,Subhartipuram,Multi-specialty,9876543210
Meerut Medicity Hospital,Delhi Road,Meerut,Modipuram,Multi-specialty,9988776655
Anand Hospital,Hapur Road,Meerut,Begum Bagh,Multi-specialty,9765432109
Jeevan Jyoti Hospital,Garh Road,Meerut,Cantt,General Medicine,9123456789
Apollo Spectra Hospitals,Delhi Road,Meerut,Near Shopprix Mall,Multi-specialty,9012345678
Dr. Sharma's Clinic,Railway Road,Meerut,Ghantaghar,General Physician,8901234567
KMC Hospital,Rohta Road,Meerut,Kankarkhera,Multi-specialty,8765432101
Rama Hospital,Bhopali Road,Meerut,Partapur,Multi-specialty,8877665544
Lala Lajpat Rai Memorial Medical College,Garh Road,Meerut,Lal Kurti,Government Hospital,8543210987
Primary Health Center Rubyapur,Main Road,Rubyapur,Rubyapur,General Health,8000112233
Rural Hospital Aklera,Village Road,Aklera,Aklera,General Health,7000223344
